mu,P
1419.1318359375,-0.11328680555557694
1419.1328125,-0.11255046296294945
1419.1337890625,-0.11249189814813931
1419.134765625,-0.11770254629632004
1419.1357421875,-0.11865462962961369
1419.13671875,-0.11706620370372212
1419.1376953125,-0.12302037037036363
1419.138671875,-0.12284027777776876
1419.1396484375,-0.12368124999999522
1419.140625,-0.1276368055555628
1419.1416015625,-0.13164930555556142
1419.142578125,-0.13060347222224092
1419.1435546875,-0.1314611111111439
1419.14453125,-0.13100185185184834
1419.1455078125,-0.1304312500000096
1419.146484375,-0.1323474537037108
1419.1474609375,-0.13354537037035577
1419.1484375,-0.13586435185182058
1419.1494140625,-0.13843773148147498
1419.150390625,-0.14213819444447393
1419.1513671875,-0.1422078703703695
1419.15234375,-0.14151296296291696
1419.1533203125,-0.14245810185181373
1419.154296875,-0.14685694444444986
1419.1552734375,-0.14827222222221084
1419.15625,-0.1506118055555326
1419.1572265625,-0.14932106481481391
1419.158203125,-0.14910833333333778
1419.1591796875,-0.15193472222225607
1419.16015625,-0.15143981481478472
1419.1611328125,-0.15515439814815285
1419.162109375,-0.15276412037038317
1419.1630859375,-0.15361967592593243
1419.1640625,-0.1541013888888849
1419.1650390625,-0.1555858796296085
1419.166015625,-0.15938379629629948
1419.1669921875,-0.15904537037035468
1419.16796875,-0.1607793981481175
1419.1689453125,-0.16277407407409675
1419.169921875,-0.16200462962964302
1419.1708984375,-0.16576249999999526
1419.171875,-0.1631942129629473
1419.1728515625,-0.16433009259258696
1419.173828125,-0.16973032407405314
1419.1748046875,-0.1666916666666574
1419.17578125,-0.16918310185185653
1419.1767578125,-0.1666372685185175
1419.177734375,-0.166932175925916
1419.1787109375,-0.17024861111111833
1419.1796875,-0.16641504629628373
1419.1806640625,-0.17283009259262566
1419.181640625,-0.17465509259260736
1419.1826171875,-0.1760756944444493
1419.18359375,-0.17458449074073354
1419.1845703125,-0.17427476851853002
1419.185546875,-0.17650138888889594
1419.1865234375,-0.17510115740741541
1419.1875,-0.17799652777781286
1419.1884765625,-0.17443981481479667
1419.189453125,-0.17697384259259724
1419.1904296875,-0.17664583333331751
1419.19140625,-0.1748409722222307
1419.1923828125,-0.17720416666668076
1419.193359375,-0.1777747685185192
1419.1943359375,-0.17956967592592246
1419.1953125,-0.1815384259258969
1419.1962890625,-0.18225416666669617
1419.197265625,-0.18315856481481443
1419.1982421875,-0.18435254629629808
1419.19921875,-0.18340347222218933
1419.2001953125,-0.18536180555555634
1419.201171875,-0.18961273148149382
1419.2021484375,-0.18996458333334085
1419.203125,-0.19105601851853954
1419.2041015625,-0.19175486111112364
1419.205078125,-0.1885930555555719
1419.2060546875,-0.1913372685184984
1419.20703125,-0.1880263888889041
1419.2080078125,-0.19280046296298178
1419.208984375,-0.1848870370370155
1419.2099609375,-0.18802638888886325
1419.2109375,-0.19272291666667393
1419.2119140625,-0.19262384259260223
1419.212890625,-0.19425694444444058
1419.2138671875,-0.1965740740740904
1419.21484375,-0.19851319444442256
1419.2158203125,-0.20113749999998543
1419.216796875,-0.20025370370368903
1419.2177734375,-0.19685509259258288
1419.21875,-0.19962222222219952
1419.2197265625,-0.1990317129629844
1419.220703125,-0.1994268518518313
1419.2216796875,-0.19697060185182735
1419.22265625,-0.19932268518517576
1419.2236328125,-0.2009662037036921
1419.224609375,-0.20121365740742847
1419.2255859375,-0.19841018518517764
1419.2265625,-0.19691157407405102
1419.2275390625,-0.19886226851852987
1419.228515625,-0.20156041666666186
1419.2294921875,-0.20259328703707907
1419.23046875,-0.20468217592595658
1419.2314453125,-0.19932824074072558
1419.232421875,-0.20253796296293894
1419.2333984375,-0.20002754629628974
1419.234375,-0.205193749999972
1419.2353515625,-0.19921111111111153
1419.236328125,-0.20326851851854422
1419.2373046875,-0.19928680555554282
1419.23828125,-0.20269675925927533
1419.2392578125,-0.19870416666666407
1419.240234375,-0.201984259259273
1419.2412109375,-0.20295509259259584
1419.2421875,-0.20344652777777333
1419.2431640625,-0.2008789351851958
1419.244140625,-0.20567268518519188
1419.2451171875,-0.2019275462963072
1419.24609375,-0.2022067129629529
1419.2470703125,-0.20130023148148904
1419.248046875,-0.19863425925925976
1419.2490234375,-0.19340185185185013
1419.25,0.1954259259259149
